date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:12	96808/96808	---M--	200	added ('OK')	image/jpeg	etag:%223a693a04971d98d202ba245b8350f990%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a1a1fb81f12_photo-1441906363162-903afd0d3d52-square700.jpg	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5ea9bcda01ba9a1a1fb81f12_photo-1441906363162-903afd0d3d52-square700.jpg	(from http://colorrituals.webflow.io/)
10:12:13	88145/88145	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2027%20Jun%202019%2018:13:30%20GMT	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.4.1.min.220afd743d.js?site=5ea9bcda61073b86302b2fbf	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/d3e54v103j8qbb.cloudfront.net/js/jquery-3.4.1.min.220afd743d38e3.js	(from http://colorrituals.webflow.io/)
10:12:14	100993/100993	---M-Z	200	added ('OK')	text/javascript	etag:%22af4268d96c2660b071eb5b1f23be828a%22	https://uploads-ssl.webflow.com/5ea9bcda61073b86302b2fbf/js/webflow.5ed5e38e1.js	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda61073b86302b2fbf/js/webflow.5ed5e38e1.js	(from http://colorrituals.webflow.io/)
10:12:15	3618/3618	---M--	200	added ('OK')	image/png	etag:%2216816fe6bf01abe1fec12aa0e42d17b0%22	https://d3e54v103j8qbb.cloudfront.net/img/example-bg.png	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/d3e54v103j8qbb.cloudfront.net/img/example-bg.png	(from https://uploads-ssl.webflow.com/5ea9bcda61073b86302b2fbf/css/colorrituals.webflow.1a86e66e1.css)
10:12:15	6240/6240	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:12:22%20GMT	http://colorrituals.webflow.io/blog-posts/london	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/blog-posts/london.html	(from http://colorrituals.webflow.io/blog)
10:12:16	5962/5962	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:12:22%20GMT	http://colorrituals.webflow.io/blog-posts/traveler	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/blog-posts/traveler.html	(from http://colorrituals.webflow.io/blog)
10:12:17	5934/5934	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:12:23%20GMT	http://colorrituals.webflow.io/blog-posts/hipster	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/blog-posts/hipster.html	(from http://colorrituals.webflow.io/blog)
10:12:17	6779/6779	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202020%2008:12:24%20GMT	http://colorrituals.webflow.io/blog-posts/modern-workplace	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/blog-posts/modern-workplace.html	(from http://colorrituals.webflow.io/blog)
10:12:18	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2022%20Jun%202020%2008:12:25%20GMT	http://colorrituals.webflow.io/about	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/colorrituals.webflow.io/about.html	(from http://colorrituals.webflow.io/)
10:12:32	647604/647604	---M--	200	added ('OK')	image/jpeg	etag:%22c1d26673aa3aef3c09dfdd9927472b33%22	https://uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eef813460d29e3e3b5cad87_IMG-2815.JPG	C:/Users/Mansi/Desktop/Mansi_Resume/colorrituals/colorrituals/uploads-ssl.webflow.com/5ea9bcda01ba9a2ecbb81e43/5eef813460d29e3e3b5cad87_IMG-2815.jpg	(from http://colorrituals.webflow.io/photos/cold-mountains)
